Frame,Angle,Method
1029,189.95,leaflet
1030,189.98,leaflet
1031,190.65,leaflet
1032,191.84,leaflet
1033,191.46,leaflet
1034,192.36,leaflet
1035,191.39,leaflet
1036,191.25,leaflet
1037,191.43,leaflet
1038,190.97,leaflet
1039,189.45,leaflet
1040,189.59,leaflet
1041,189.56,leaflet
1042,189.45,leaflet
1043,189.24,leaflet
1044,188.50,leaflet
1045,188.58,leaflet
1046,188.40,leaflet
1047,187.30,leaflet
1048,187.64,leaflet
1049,187.43,leaflet
1050,186.24,leaflet
1051,186.24,leaflet
1052,186.42,leaflet
1053,186.62,leaflet
1054,186.26,leaflet
1055,186.42,leaflet
1056,185.90,leaflet
1057,186.40,leaflet
1058,186.20,leaflet
1059,185.71,leaflet
1060,186.26,leaflet
1061,185.53,leaflet
1062,185.93,leaflet
1063,185.83,leaflet
1064,185.37,leaflet
1065,185.24,leaflet
1066,185.25,leaflet
1067,184.52,leaflet
1068,185.29,leaflet
1069,183.47,leaflet
1070,184.60,leaflet
1071,183.88,leaflet
1072,183.91,leaflet
1073,182.77,leaflet
1074,183.51,leaflet
1075,183.69,leaflet
1076,183.31,leaflet
1077,182.39,leaflet
1078,181.81,leaflet
1079,183.56,leaflet
1080,182.20,leaflet
1081,182.96,leaflet
1082,184.06,leaflet
1083,182.55,leaflet
1084,183.10,leaflet
1085,182.92,leaflet
1086,182.54,leaflet
1087,182.17,leaflet
1088,182.93,leaflet
1089,182.91,leaflet
1090,182.53,leaflet
1091,182.57,leaflet
1092,182.35,leaflet
1093,182.37,leaflet
1094,181.60,leaflet
1095,181.99,leaflet
1096,181.59,leaflet
1097,180.82,leaflet
1098,180.82,leaflet
1099,180.62,leaflet
1100,180.43,leaflet
1101,180.62,leaflet
1102,180.23,leaflet
1103,179.45,leaflet
1104,179.45,leaflet
1105,178.87,leaflet
1106,178.47,leaflet
1107,177.30,leaflet
1108,177.70,leaflet
1109,177.09,leaflet
1110,175.89,leaflet
1111,175.89,leaflet
1112,174.50,leaflet
1113,174.48,leaflet
1114,173.85,leaflet
1115,170.99,leaflet
1116,170.20,leaflet
1117,167.54,leaflet
1118,168.92,leaflet
1119,166.63,leaflet
1120,166.04,leaflet
1121,165.10,leaflet
1122,164.27,leaflet
1123,161.96,leaflet
1124,161.14,leaflet
1125,158.54,leaflet
1126,157.56,leaflet
1127,155.87,leaflet
1128,153.70,leaflet
1129,151.21,leaflet
1130,149.00,leaflet
1131,146.31,leaflet
1132,143.94,leaflet
1133,141.62,leaflet
1134,138.18,leaflet
1135,134.73,leaflet
1136,130.94,leaflet
1137,127.12,leaflet
1138,124.22,leaflet
1139,52.83,laser
1140,50.62,laser
1141,47.95,laser
1142,45.18,laser
1143,42.78,laser
1144,38.64,laser
1145,35.12,laser
1146,32.87,laser
1147,25.47,laser
1148,21.10,laser
1149,22.13,laser
1150,22.43,laser
1151,22.08,laser
1152,26.61,laser
1153,26.81,laser
1154,26.82,laser
1155,26.88,laser
1156,26.71,laser
1157,26.69,laser
1158,26.70,laser
1159,26.74,laser
1160,26.72,laser
1161,26.73,laser
1162,26.78,laser
1163,26.82,laser
1164,26.74,laser
1165,26.76,laser
1166,26.86,laser
1167,26.81,laser
1168,26.85,laser
1169,26.80,laser
1170,26.71,laser
1171,26.72,laser
1172,26.79,laser
1173,26.72,laser
1174,26.86,laser
1175,26.82,laser
1176,26.69,laser
1177,26.64,laser
1178,26.71,laser
1179,26.76,laser
1180,26.82,laser
1181,26.75,laser
1182,26.75,laser
1183,26.88,laser
1184,26.64,laser
1185,26.74,laser
1186,26.72,laser
1187,26.71,laser
1188,26.74,laser
1189,26.69,laser
1190,26.77,laser
1191,26.81,laser
1192,26.81,laser
1193,26.84,laser
1194,26.77,laser
1195,26.78,laser
1196,26.72,laser
1197,26.86,laser
1198,26.76,laser
1199,26.76,laser
1200,26.78,laser
1201,26.74,laser
1202,26.70,laser
1203,26.74,laser
1204,26.72,laser
1205,26.76,laser
1206,26.71,laser
1207,26.75,laser
1208,26.87,laser
1209,26.77,laser
1210,26.79,laser
1211,26.78,laser
1212,26.87,laser
1213,26.88,laser
1214,26.87,laser
1215,26.93,laser
1216,26.80,laser
1217,26.97,laser
1218,26.92,laser
1219,26.85,laser
1220,26.83,laser
1221,26.88,laser
1222,26.91,laser
1223,26.80,laser
1224,26.78,laser
1225,26.76,laser
1226,26.91,laser
1227,26.79,laser
1228,26.87,laser
1229,26.88,laser
1230,26.83,laser
1231,26.82,laser
1232,26.70,laser
1233,26.55,laser
1234,26.67,laser
1235,26.90,laser
1236,26.78,laser
1237,26.76,laser
1238,26.68,laser
1239,26.67,laser
1240,26.70,laser
1241,26.64,laser
1242,26.64,laser
1243,26.48,laser
1244,26.50,laser
1245,26.72,laser
1246,26.71,laser
1247,26.72,laser
1248,26.74,laser
1249,26.74,laser
1250,26.83,laser
1251,26.86,laser
1252,26.92,laser
1253,26.84,laser
1254,26.74,laser
1255,26.83,laser
1256,26.75,laser
1257,26.71,laser
1258,26.94,laser
1259,26.90,laser
1260,26.89,laser
1261,26.86,laser
1262,26.83,laser
1263,26.80,laser
1264,26.82,laser
1265,26.90,laser
1266,26.83,laser
1267,26.76,laser
1268,26.79,laser
1269,26.71,laser
1270,26.82,laser
1271,26.75,laser
1272,26.75,laser
1273,26.66,laser
1274,26.77,laser
1275,26.69,laser
1276,26.73,laser
1277,26.71,laser
1278,26.73,laser
1279,26.70,laser
1280,26.69,laser
1281,26.62,laser
1282,26.71,laser
1283,26.66,laser
1284,26.69,laser
1285,26.77,laser
1286,26.79,laser
1287,26.86,laser
1288,26.79,laser
1289,26.82,laser
1290,26.81,laser
1291,26.82,laser
1292,26.80,laser
1293,26.77,laser
1294,26.79,laser
1295,26.74,laser
1296,26.78,laser
1297,26.67,laser
1298,26.73,laser
1299,26.83,laser
1300,26.80,laser
1301,26.82,laser
1302,26.78,laser
1303,26.82,laser
1304,26.82,laser
1305,26.82,laser
1306,26.83,laser
1307,26.80,laser
1308,26.80,laser
1309,26.87,laser
1310,26.87,laser
1311,26.76,laser
1312,26.72,laser
1313,26.76,laser
1314,26.71,laser
1315,26.72,laser
1316,26.81,laser
1317,26.83,laser
1318,26.87,laser
1319,26.77,laser
1320,26.82,laser
1321,26.86,laser
1322,26.87,laser
1323,26.80,laser
1324,26.77,laser
1325,26.73,laser
1326,26.81,laser
1327,26.81,laser
1328,26.77,laser
1329,26.79,laser
1330,26.90,laser
1331,26.88,laser
1332,26.86,laser
1333,26.84,laser
1334,26.85,laser
1335,26.93,laser
1336,26.83,laser
1337,26.83,laser
1338,26.84,laser
1339,26.84,laser
1340,26.80,laser
1341,26.79,laser
1342,26.79,laser
1343,26.84,laser
1344,26.80,laser
1345,26.78,laser
1346,26.76,laser
1347,26.79,laser
1348,26.84,laser
1349,26.74,laser
1350,26.67,laser
1351,26.69,laser
1352,26.81,laser
1353,26.74,laser
1354,26.80,laser
1355,26.66,laser
1356,26.73,laser
1357,26.70,laser
1358,26.77,laser
1359,26.62,laser
1360,26.68,laser
1361,26.63,laser
1362,26.68,laser
1363,26.71,laser
1364,26.72,laser
1365,26.72,laser
1366,26.67,laser
1367,26.65,laser
1368,26.72,laser
1369,26.74,laser
1370,26.69,laser
1371,26.76,laser
1372,26.79,laser
1373,26.62,laser
1374,26.74,laser
1375,26.67,laser
1376,26.72,laser
1377,26.77,laser
1378,26.70,laser
1379,26.68,laser
1380,26.74,laser
1381,26.57,laser
1382,26.53,laser
1383,26.62,laser
1384,26.67,laser
1385,26.71,laser
1386,26.72,laser
1387,26.76,laser
1388,26.80,laser
1389,26.75,laser
1390,26.55,laser
1391,26.79,laser
1392,26.63,laser
1393,26.74,laser
1394,26.67,laser
1395,26.66,laser
1396,26.69,laser
1397,26.66,laser
1398,26.70,laser
1399,26.58,laser
1400,26.67,laser
1401,26.71,laser
1402,26.66,laser
1403,26.65,laser
1404,26.71,laser
1405,26.65,laser
1406,26.65,laser
1407,26.58,laser
1408,26.72,laser
1409,26.69,laser
1410,26.62,laser
1411,26.72,laser
1412,26.66,laser
1413,26.73,laser
1414,26.57,laser
1415,26.58,laser
1416,26.62,laser
1417,26.61,laser
1418,26.69,laser
1419,26.78,laser
1420,26.73,laser
1421,26.73,laser
1422,26.78,laser
1423,26.75,laser
1424,26.65,laser
1425,26.78,laser
1426,26.75,laser
1427,26.61,laser
1428,26.66,laser
1429,26.66,laser
1430,26.70,laser
1431,26.65,laser
1432,26.59,laser
1433,26.61,laser
1434,26.57,laser
1435,26.76,laser
1436,26.72,laser
1437,26.75,laser
1438,26.64,laser
1439,26.69,laser
1440,26.57,laser
1441,26.59,laser
1442,26.72,laser
1443,26.60,laser
1444,26.68,laser
1445,26.58,laser
1446,26.70,laser
1447,26.73,laser
1448,26.58,laser
1449,26.78,laser
1450,26.72,laser
1451,26.69,laser
1452,26.75,laser
1453,26.71,laser
1454,26.77,laser
1455,26.74,laser
1456,26.81,laser
1457,26.83,laser
1458,26.79,laser
1459,26.83,laser
1460,26.85,laser
1461,26.80,laser
1462,26.87,laser
1463,26.87,laser
1464,26.87,laser
1465,26.87,laser
1466,26.85,laser
1467,26.84,laser
1468,26.72,laser
1469,26.91,laser
1470,26.81,laser
1471,26.79,laser
1472,26.88,laser
1473,26.78,laser
1474,26.70,laser
1475,26.75,laser
1476,26.86,laser
1477,26.73,laser
1478,26.75,laser
1479,26.71,laser
1480,26.70,laser
1481,26.74,laser
1482,26.67,laser
1483,26.72,laser
1484,26.70,laser
1485,26.60,laser
1486,26.61,laser
1487,26.57,laser
1488,26.64,laser
1489,26.75,laser
1490,26.76,laser
1491,26.65,laser
1492,26.78,laser
1493,26.77,laser
1494,26.80,laser
1495,26.74,laser
1496,26.72,laser
1497,26.81,laser
1498,26.90,laser
1499,26.86,laser
1500,26.81,laser
1501,26.85,laser
1502,26.74,laser
1503,26.70,laser
1504,26.81,laser
1505,26.60,laser
1506,26.63,laser
1507,26.75,laser
1508,26.69,laser
1509,26.78,laser
1510,26.83,laser
1511,26.69,laser
1512,26.69,laser
1513,26.80,laser
1514,26.82,laser
1515,26.70,laser
1516,26.79,laser
1517,26.75,laser
1518,26.72,laser
1519,26.66,laser
1520,26.59,laser
1521,26.68,laser
1522,26.64,laser
1523,26.61,laser
1524,26.66,laser
1525,26.65,laser
1526,26.67,laser
1527,26.64,laser
1528,26.68,laser
1529,26.63,laser
1530,26.51,laser
1531,26.66,laser
1532,26.61,laser
1533,26.62,laser
1534,26.57,laser
1535,26.64,laser
1536,26.62,laser
1537,26.82,laser
1538,26.73,laser
1539,26.84,laser
1540,26.74,laser
1541,26.72,laser
1542,26.68,laser
1543,26.68,laser
1544,26.66,laser
1545,26.68,laser
1546,26.66,laser
1547,26.64,laser
1548,26.69,laser
1549,26.66,laser
1550,26.68,laser
1551,26.76,laser
1552,26.75,laser
1553,26.63,laser
1554,26.61,laser
1555,26.64,laser
1556,26.71,laser
1557,26.71,laser
1558,26.67,laser
1559,26.67,laser
1560,26.75,laser
1561,26.81,laser
1562,26.71,laser
1563,26.85,laser
1564,26.71,laser
1565,26.75,laser
1566,26.77,laser
1567,26.71,laser
1568,26.80,laser
1569,26.80,laser
1570,26.77,laser
1571,26.78,laser
1572,26.80,laser
1573,26.77,laser
1574,26.74,laser
1575,26.74,laser
1576,26.71,laser
1577,26.77,laser
1578,26.72,laser
1579,26.57,laser
1580,26.67,laser
1581,26.69,laser
1582,26.59,laser
1583,26.70,laser
1584,26.54,laser
1585,26.74,laser
1586,26.72,laser
1587,26.66,laser
1588,26.69,laser
1589,26.70,laser
1590,26.57,laser
1591,26.76,laser
1592,26.76,laser
1593,26.78,laser
1594,26.79,laser
1595,26.88,laser
1596,26.79,laser
1597,26.83,laser
1598,26.61,laser
1599,26.81,laser
1600,26.87,laser
1601,26.91,laser
1602,26.88,laser
1603,26.77,laser
1604,26.71,laser
1605,26.78,laser
1606,26.90,laser
1607,26.81,laser
1608,26.81,laser
1609,26.79,laser
1610,26.82,laser
1611,26.82,laser
1612,26.63,laser
1613,26.70,laser
1614,26.78,laser
1615,26.73,laser
1616,26.70,laser
1617,26.67,laser
1618,26.75,laser
1619,26.83,laser
1620,26.80,laser
1621,26.83,laser
1622,26.77,laser
1623,26.80,laser
1624,26.68,laser
1625,26.64,laser
1626,26.68,laser
1627,26.71,laser
1628,26.79,laser
1629,26.78,laser
1630,26.78,laser
1631,26.83,laser
1632,26.75,laser
1633,26.82,laser
1634,26.88,laser
1635,26.76,laser
1636,26.65,laser
1637,26.71,laser
1638,26.78,laser
1639,26.74,laser
1640,26.72,laser
1641,26.78,laser
1642,26.75,laser
1643,26.80,laser
1644,26.70,laser
1645,26.78,laser
1646,26.82,laser
1647,26.96,laser
1648,26.80,laser
1649,26.85,laser
1650,26.75,laser
1651,26.68,laser
1652,26.81,laser
1653,26.74,laser
1654,26.74,laser
1655,26.65,laser
1656,26.81,laser
1657,26.63,laser
1658,26.77,laser
1659,26.72,laser
1660,26.86,laser
1661,26.77,laser
1662,26.80,laser
1663,26.74,laser
1664,26.66,laser
1665,26.65,laser
1666,26.69,laser
1667,26.51,laser
1668,26.61,laser
1669,26.60,laser
1670,26.53,laser
1671,26.50,laser
1672,26.71,laser
1673,26.62,laser
1674,26.67,laser
1675,26.64,laser
1676,26.51,laser
1677,26.65,laser
1678,26.68,laser
1679,26.68,laser
1680,26.59,laser
1681,26.73,laser
1682,26.59,laser
1683,26.59,laser
1684,26.62,laser
1685,26.79,laser
1686,26.78,laser
1687,26.77,laser
1688,26.85,laser
1689,26.74,laser
1690,26.71,laser
1691,26.66,laser
1692,26.56,laser
1693,26.67,laser
1694,26.78,laser
1695,26.72,laser
1696,26.70,laser
1697,26.70,laser
1698,26.64,laser
1699,26.56,laser
1700,26.54,laser
1701,26.74,laser
1702,26.74,laser
1703,26.74,laser
1704,26.73,laser
1705,26.73,laser
1706,26.79,laser
1707,26.67,laser
1708,26.66,laser
1709,26.61,laser
1710,26.81,laser
1711,26.83,laser
1712,26.67,laser
1713,26.66,laser
1714,26.54,laser
1715,26.67,laser
1716,26.69,laser
1717,26.77,laser
1718,26.77,laser
1719,26.67,laser
1720,26.66,laser
1721,26.67,laser
1722,26.70,laser
1723,26.70,laser
1724,26.79,laser
1725,26.71,laser
1726,26.72,laser
1727,26.81,laser
1728,26.77,laser
1729,26.75,laser
1730,26.73,laser
1731,26.67,laser
1732,26.68,laser
1733,26.68,laser
1734,26.53,laser
1735,26.93,laser
1736,26.77,laser
1737,26.77,laser
1738,26.69,laser
1739,26.67,laser
1740,26.60,laser
1741,26.58,laser
1742,26.74,laser
1743,26.72,laser
1744,26.75,laser
1745,26.69,laser
1746,26.72,laser
1747,26.76,laser
1748,26.83,laser
1749,26.73,laser
1750,26.72,laser
1751,26.86,laser
1752,26.84,laser
1753,26.80,laser
1754,26.83,laser
1755,26.73,laser
1756,26.76,laser
1757,26.72,laser
1758,26.77,laser
1759,26.75,laser
1760,26.76,laser
1761,26.75,laser
1762,26.66,laser
1763,26.71,laser
1764,26.51,laser
1765,26.48,laser
1766,26.37,laser
1767,26.30,laser
1768,26.43,laser
1769,26.43,laser
1770,26.69,laser
1771,27.76,laser
1772,28.42,laser
1773,29.01,laser
1774,29.75,laser
1775,31.28,laser
1776,31.56,laser
1777,32.37,laser
1778,33.04,laser
1779,33.56,laser
1780,34.98,laser
1781,35.99,laser
1782,37.00,laser
1783,37.89,laser
1784,39.11,laser
1785,40.40,laser
1786,41.36,laser
1787,43.04,laser
1788,43.89,laser
1789,45.29,laser
1790,46.08,laser
1791,47.11,laser
1792,48.53,laser
1793,49.49,laser
1794,51.70,laser
1795,51.96,laser
1796,123.09,leaflet
1797,124.98,leaflet
1798,126.65,leaflet
1799,128.90,leaflet
1800,131.01,leaflet
1801,132.93,leaflet
1802,134.99,leaflet
1803,137.09,leaflet
1804,139.10,leaflet
1805,140.92,leaflet
1806,142.66,leaflet
1807,144.75,leaflet
1808,146.26,leaflet
1809,147.94,leaflet
1810,149.82,leaflet
1811,151.29,leaflet
1812,152.61,leaflet
1813,154.02,leaflet
1814,155.21,leaflet
1815,156.71,leaflet
1816,157.97,leaflet
1817,158.84,leaflet
1818,159.90,leaflet
1819,161.58,leaflet
1820,162.73,leaflet
1821,163.52,leaflet
1822,164.50,leaflet
1823,165.47,leaflet
1824,166.41,leaflet
1825,167.03,leaflet
1826,167.79,leaflet
1827,168.64,leaflet
1828,169.56,leaflet
1829,169.33,leaflet
1830,169.79,leaflet
1831,170.47,leaflet
1832,170.34,leaflet
1833,170.92,leaflet
1834,170.80,leaflet
1835,170.96,leaflet
1836,171.76,leaflet
1837,173.56,leaflet
1838,175.41,leaflet
1839,175.82,leaflet
1840,176.98,leaflet
1841,177.76,leaflet
1842,177.96,leaflet
1843,179.09,leaflet
1844,179.09,leaflet
1845,179.85,leaflet
1846,180.79,leaflet
1847,180.60,leaflet
1848,182.30,leaflet
1849,182.11,leaflet
1850,182.10,leaflet
1851,183.22,leaflet
1852,183.60,leaflet
1853,184.37,leaflet
1854,184.40,leaflet
1855,184.37,leaflet
1856,185.86,leaflet
1857,185.85,leaflet
1858,185.83,leaflet
1859,184.60,leaflet
1860,185.17,leaflet
1861,186.57,leaflet
1862,186.40,leaflet
1863,187.24,leaflet
1864,187.10,leaflet
1865,187.10,leaflet
1866,187.39,leaflet
1867,187.65,leaflet
1868,187.24,leaflet
1869,186.87,leaflet
1870,187.44,leaflet
1871,187.42,leaflet
1872,187.67,leaflet
1873,187.37,leaflet
1874,186.87,leaflet
1875,187.39,leaflet
1876,187.73,leaflet
1877,187.97,leaflet
1878,187.28,leaflet
1879,187.63,leaflet
1880,187.97,leaflet
1881,187.73,leaflet
1882,187.37,leaflet
1883,187.37,leaflet
1884,187.76,leaflet
1885,187.03,leaflet
1886,186.87,leaflet
1887,187.58,leaflet
1888,187.99,leaflet
1889,187.91,leaflet
1890,187.37,leaflet
1891,187.17,leaflet
1892,187.03,leaflet
1893,188.07,leaflet
1894,187.39,leaflet
1895,187.44,leaflet
1896,188.10,leaflet
1897,188.02,leaflet
1898,188.10,leaflet
1899,187.37,leaflet
1900,187.35,leaflet
1901,188.07,leaflet
1902,188.22,leaflet
1903,187.35,leaflet
1904,187.89,leaflet
1905,187.55,leaflet
1906,188.04,leaflet
1907,187.89,leaflet
1908,188.02,leaflet
1909,188.25,leaflet
1910,187.84,leaflet
1911,187.35,leaflet
1912,187.55,leaflet
1913,188.07,leaflet
1914,187.17,leaflet
1915,188.02,leaflet
1916,187.89,leaflet
1917,188.02,leaflet
1918,188.07,leaflet
1919,186.48,leaflet
1920,187.89,leaflet
1921,187.32,leaflet
1922,188.20,leaflet
1923,188.20,leaflet
1924,187.68,leaflet
1925,187.14,leaflet
1926,187.14,leaflet
1927,187.53,leaflet
1928,188.07,leaflet
1929,188.02,leaflet
1930,188.02,leaflet
1931,187.99,leaflet
1932,188.25,leaflet
1933,187.84,leaflet
1934,188.25,leaflet
1935,188.04,leaflet
1936,187.37,leaflet
1937,187.86,leaflet
1938,187.84,leaflet
1939,187.84,leaflet
1940,188.20,leaflet
1941,188.02,leaflet
1942,187.82,leaflet
1943,187.84,leaflet
1944,187.84,leaflet
1945,187.86,leaflet
1946,188.43,leaflet
1947,187.89,leaflet
1948,188.17,leaflet
1949,187.99,leaflet
1950,187.10,leaflet
1951,188.02,leaflet
1952,187.53,leaflet
1953,188.02,leaflet
1954,188.58,leaflet
1955,188.02,leaflet
1956,188.20,leaflet
1957,188.38,leaflet
1958,188.20,leaflet
1959,188.17,leaflet
1960,187.86,leaflet
1961,188.02,leaflet
1962,188.22,leaflet
1963,187.99,leaflet
1964,188.02,leaflet
1965,187.99,leaflet
1966,187.66,leaflet
1967,188.17,leaflet
1968,187.86,leaflet
1969,187.12,leaflet
1970,188.20,leaflet
1971,188.02,leaflet
1972,188.02,leaflet
1973,187.84,leaflet
1974,187.28,leaflet
1975,187.32,leaflet
1976,187.99,leaflet
1977,188.64,leaflet
1978,188.07,leaflet
1979,188.02,leaflet
1980,188.17,leaflet
1981,187.46,leaflet
1982,188.17,leaflet
1983,188.02,leaflet
1984,188.02,leaflet
1985,187.82,leaflet
1986,187.66,leaflet
1987,187.68,leaflet
1988,188.02,leaflet
1989,187.32,leaflet
1990,187.30,leaflet
1991,187.66,leaflet
1992,187.12,leaflet
1993,187.99,leaflet
1994,187.66,leaflet
1995,187.01,leaflet
1996,187.19,leaflet
1997,186.74,leaflet
1998,187.12,leaflet
1999,186.94,leaflet
2000,187.30,leaflet
